Id,hex_id,bra,,,,,,,,,
61495,61495,1,,,,,,,,,
61496,61496,1,,,,,,,,,
61498,61498,1,,,,,,,,,
61499,61499,1,,,,,,,,,
61500,61500,1,,,,,,,,,
61856,61856,1,,,,,,,,,
61857,61857,1,,,,,,,,,
61860,61860,1,,,,,,,,,
62219,62219,1,,,,,,,,,
62221,62221,1,,,,,,,,,
65476,65476,1,,,,,,,,,
65835,65835,1,,,,,,,,,
65838,65838,1,,,,,,,,,
66196,66196,1,,,,,,,,,
66199,66199,1,,,,,,,,,
66560,66560,1,,,,,,,,,
66918,66918,1,,,,,,,,,
66921,66921,1,,,,,,,,,
67279,67279,1,,,,,,,,,
67280,67280,1,,,,,,,,,
67281,67281,1,,,,,,,,,
67282,67282,1,,,,,,,,,
67640,67640,1,,,,,,,,,
67641,67641,1,,,,,,,,,
67642,67642,1,,,,,,,,,
67643,67643,1,,,,,,,,,
67644,67644,1,,,,,,,,,
68002,68002,1,,,,,,,,,
68003,68003,1,,,,,,,,,
68004,68004,1,,,,,,,,,
68005,68005,1,,,,,,,,,
68365,68365,1,,,,,,,,,
68366,68366,1,,,,,,,,,
68367,68367,1,,,,,,,,,
68728,68728,1,,,,,,,,,
69086,69086,1,,,,,,,,,
69087,69087,1,,,,,,,,,
69088,69088,1,,,,,,,,,
69090,69090,1,,,,,,,,,
69447,69447,1,,,,,,,,,
69451,69451,1,,,,,,,,,
69809,69809,1,,,,,,,,,
69812,69812,1,,,,,,,,,
69813,69813,1,,,,,,,,,
70171,70171,1,,,,,,,,,
70173,70173,1,,,,,,,,,
70174,70174,1,,,,,,,,,
70534,70534,1,,,,,,,,,
70536,70536,1,,,,,,,,,
70894,70894,1,,,,,,,,,
70898,70898,1,,,,,,,,,
71256,71256,1,,,,,,,,,
71259,71259,1,,,,,,,,,
71617,71617,1,,,,,,,,,
71620,71620,1,,,,,,,,,
73788,73788,1,,,,,,,,,
74147,74147,1,,,,,,,,,
74149,74149,1,,,,,,,,,
74509,74509,1,,,,,,,,,
74869,74869,1,,,,,,,,,
74871,74871,1,,,,,,,,,
75229,75229,1,,,,,,,,,
75230,75230,1,,,,,,,,,
75231,75231,1,,,,,,,,,
75590,75590,1,,,,,,,,,
75591,75591,1,,,,,,,,,
75592,75592,1,,,,,,,,,
75593,75593,1,,,,,,,,,
76311,76311,1,,,,,,,,,
76312,76312,1,,,,,,,,,
76313,76313,1,,,,,,,,,
76314,76314,1,,,,,,,,,
76670,76670,1,,,,,,,,,
76671,76671,1,,,,,,,,,
76672,76672,1,,,,,,,,,
76673,76673,1,,,,,,,,,
76674,76674,1,,,,,,,,,
77031,77031,1,,,,,,,,,
77032,77032,1,,,,,,,,,
77033,77033,1,,,,,,,,,
77034,77034,1,,,,,,,,,
77393,77393,1,,,,,,,,,
77395,77395,1,,,,,,,,,
78115,78115,1,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
